station_code,tier_cm,started_at,ended_at,duration_minutes,n_readings,peak_depth_cm,n_excursions_merged,year
FL.DDG.07,5.0,2019-06-07 14:55:00,2019-06-07 16:45:00,115,23,26.8,1,2019
FL.PTW.02,5.0,2019-06-07 14:55:00,2019-06-07 16:30:00,100,20,22.8,1,2019
FL.PYT.03,5.0,2019-06-07 14:55:00,2019-06-07 15:40:00,50,10,10.7,1,2019
FL.SLG.03,5.0,2019-06-07 14:55:00,2019-06-07 15:10:00,20,4,10.7,1,2019
FL.DDG.08,5.0,2019-06-07 15:00:00,2019-06-07 16:05:00,70,14,18.0,1,2019
FL.HKG.01,5.0,2019-06-07 15:00:00,2019-06-07 16:10:00,75,14,16.0,2,2019
FL.PTW.05,5.0,2019-06-07 15:10:00,2019-06-07 15:50:00,45,9,18.9,1,2019
FL.RTW.10,5.0,2019-06-10 11:00:00,2019-06-10 11:05:00,10,2,27.3,1,2019
FL.CTC.06,5.0,2019-06-10 14:20:00,2019-06-10 14:30:00,15,3,27.2,1,2019
FL.CTC.04,5.0,2019-06-11 07:40:00,2019-06-11 08:00:00,25,5,11.7,1,2019
FL.BNA.03,5.0,2019-06-11 12:15:00,2019-06-11 12:30:00,20,4,6.8,1,2019
FL.CTC.04,5.0,2019-06-11 14:30:00,2019-06-11 15:20:00,55,11,13.0,1,2019
FL.CTC.04,5.0,2019-06-12 07:50:00,2019-06-12 08:55:00,70,14,21.9,1,2019
FL.CTC.04,5.0,2019-06-13 07:55:00,2019-06-13 08:30:00,40,8,21.9,1,2019
FL.CTC.04,5.0,2019-06-14 07:50:00,2019-06-14 08:00:00,15,3,15.2,1,2019
FL.CTC.04,5.0,2019-06-14 11:05:00,2019-06-14 11:25:00,25,5,6.2,1,2019
FL.KTY.04,5.0,2019-06-14 11:35:00,2019-06-14 11:50:00,20,4,6.4,1,2019
FL.DDG.06,5.0,2019-06-15 21:25:00,2019-06-15 21:40:00,20,4,7.9,1,2019
FL.BKN.01,5.0,2019-06-15 21:40:00,2019-06-15 22:05:00,30,6,14.8,1,2019
FL.BKP.02,5.0,2019-06-15 22:40:00,2019-06-15 22:45:00,10,2,8.0,1,2019
FL.CTC.04,5.0,2019-06-16 07:50:00,2019-06-16 08:15:00,30,6,15.3,1,2019
FL.BNA.03,5.0,2019-06-16 15:30:00,2019-06-16 16:10:00,45,9,8.7,1,2019
FL.SLG.03,5.0,2019-06-23 15:30:00,2019-06-23 15:45:00,20,4,11.8,1,2019
FL.SLG.02,5.0,2019-06-23 15:45:00,2019-06-23 15:55:00,15,3,9.2,1,2019
FL.BKE.02,5.0,2019-06-24 05:50:00,2019-06-24 08:20:00,155,31,35.8,1,2019
FL.KTY.04,5.0,2019-06-24 09:25:00,2019-06-24 11:10:00,110,18,11.6,2,2019
FL.BBN.01,5.0,2019-06-24 21:30:00,2019-06-24 22:35:00,70,14,12.3,1,2019
FL.BKE.02,5.0,2019-06-24 21:50:00,2019-06-24 22:50:00,65,13,26.5,1,2019
FL.BNA.03,5.0,2019-06-24 22:15:00,2019-06-24 23:40:00,90,18,21.5,1,2019
FL.BNA.04,5.0,2019-06-24 22:35:00,2019-06-24 23:15:00,45,9,13.2,1,2019
FL.KTY.04,5.0,2019-06-30 09:35:00,2019-06-30 12:20:00,170,29,9.5,3,2019
FL.BKM.01,5.0,2019-06-30 18:55:00,2019-07-01 07:05:00,735,146,33.2,2,2019
FL.SLG.03,5.0,2019-06-30 18:55:00,2019-06-30 19:00:00,10,2,8.8,1,2019
FL.BNA.03,5.0,2019-07-01 05:30:00,2019-07-01 06:15:00,50,10,6.7,1,2019
FL.KTY.04,5.0,2019-07-01 09:25:00,2019-07-01 10:25:00,65,9,7.4,2,2019
FL.SPW.01,5.0,2019-07-04 10:45:00,2019-07-04 10:55:00,15,3,29.1,1,2019
FL.BNA.03,5.0,2019-07-06 12:00:00,2019-07-06 12:30:00,35,7,8.2,1,2019
FL.BNA.03,5.0,2019-07-09 19:35:00,2019-07-09 19:55:00,25,5,7.6,1,2019
FL.BNA.03,5.0,2019-07-13 00:40:00,2019-07-13 02:05:00,90,18,11.2,1,2019
FL.PWT.02,5.0,2019-07-13 00:45:00,2019-07-13 04:20:00,220,44,27.1,1,2019
FL.BNA.04,5.0,2019-07-13 01:15:00,2019-07-13 01:50:00,40,8,12.7,1,2019
FL.BKN.01,5.0,2019-07-15 17:40:00,2019-07-15 19:05:00,90,18,25.7,1,2019
FL.BKN.02,5.0,2019-07-15 17:50:00,2019-07-15 18:05:00,20,4,8.5,1,2019
FL.SPW.02,5.0,2019-07-15 17:55:00,2019-07-15 18:25:00,35,7,9.2,1,2019
FL.CTC.02,5.0,2019-07-15 18:05:00,2019-07-15 18:10:00,10,2,5.5,1,2019
FL.STN.04,5.0,2019-07-15 18:10:00,2019-07-15 18:30:00,25,5,8.6,1,2019
FL.LSI.03,5.0,2019-07-20 14:30:00,2019-07-20 14:50:00,25,5,7.1,1,2019
FL.LSI.03,5.0,2019-07-21 18:15:00,2019-07-21 18:25:00,15,3,5.5,1,2019
FL.LSI.03,5.0,2019-07-23 17:45:00,2019-07-23 18:10:00,30,6,6.4,1,2019
FL.BNA.03,5.0,2019-07-23 18:20:00,2019-07-23 19:10:00,55,11,7.5,1,2019
FL.BNA.03,5.0,2019-07-24 16:00:00,2019-07-24 16:30:00,35,7,7.3,1,2019
FL.SMI.01,5.0,2019-07-25 12:50:00,2019-07-25 12:55:00,10,2,31.3,1,2019
FL.BNA.03,5.0,2019-08-05 04:40:00,2019-08-05 05:05:00,30,6,9.3,1,2019
FL.BNA.03,5.0,2019-08-06 23:35:00,2019-08-07 00:25:00,55,11,8.2,1,2019
FL.SLG.03,5.0,2019-08-06 23:45:00,2019-08-06 23:50:00,10,2,8.8,1,2019
FL.PWT.02,5.0,2019-08-06 23:55:00,2019-08-07 00:05:00,15,3,8.8,1,2019
FL.LSI.03,5.0,2019-08-14 05:40:00,2019-08-14 05:50:00,15,3,5.0,1,2019
FL.LSI.03,5.0,2019-08-16 00:25:00,2019-08-16 01:35:00,75,15,12.7,1,2019
FL.LSI.03,5.0,2019-08-16 12:20:00,2019-08-16 12:25:00,10,2,9.6,1,2019
FL.LSI.03,5.0,2019-08-16 17:30:00,2019-08-16 19:45:00,140,28,12.2,1,2019
