dataset,year,station_code,rows,n_timestamps,ts_min,ts_max,duplicate_timestamps
flood,2021,FL.WTN.02,105120,105120,2021-01-01,2021-12-31 23:55:00,0
flood,2021,FL.BKP.01,105120,105120,2021-01-01,2021-12-31 23:55:00,0
flood,2022,FL.BKE.02,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.BRK.02,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.DST.08,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.HKG.01,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.KSN.01,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.KTY.04,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.LSI.02,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.LSI.05,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.MBR.01,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.PPS.02,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.PYT.01,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.PYT.02,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.PYT.04,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.WTL.04,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.DDG.01,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.DDG.03,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.KTY.05,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.SLG.03,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.STN.02,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.SMI.01,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.BKM.01,105120,105120,2022-01-01,2022-12-31 23:55:00,0
flood,2022,FL.BKT.01,105120,105120,2022-01-01,2022-12-31 23:55:00,0
