dataset,year,station_code,station_name,rows,expected_rows,row_completeness_pct,n_timestamps,duplicate_timestamps,ts_min,ts_max,primary_column,null_pct,sensor_effectively_offline
rain,2019,RF.SLG.02,จุดวัดคลองประเวศบุรีรมย์ ตอนวัดขจรศิริ,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.SMI.01,สำนักงานเขตสายไหม,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.SMI.02,ประตูระบายน้ำ คลองสองสายใต้,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.SMI.03,ประตูระบายน้ำ คลองพระยาสุเรนทร์,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.SMI.04,จุดวัดซอยแอนเน็กซ์,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.SPK.01,สถานีสูบน้ำ คลองสำโรง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.SPS.01,สำนักงานเขตสะพานสูง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.SPS.02,ประตูระบายน้ำ คลองแสนแสบ ตอนบางชัน,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.SPW.01,บ่อสูบน้ำ ท่าน้ำสวัสดี,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.STN.01,สำนักงานเขตสาทร,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.STN.02,สถานีสูบน้ำ คลองสาทร,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TBR.01,สำนักงานเขตธนบุรี,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TBR.02,สถานีสูบน้ำ คลองสำเหร่,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
