district,elev_m_mean,elev_m_std,elev_m_min,elev_m_max,elev_m_n,elev_m_p1,elev_m_p5,elev_m_p10,elev_m_p25,elev_m_p50,elev_m_p75,elev_m_p90,elev_m_p95,elev_m_p99,depression_depth_m_mean,depression_depth_m_std,depression_depth_m_min,depression_depth_m_max,depression_depth_m_n,depression_depth_m_p1,depression_depth_m_p5,depression_depth_m_p10,depression_depth_m_p25,depression_depth_m_p50,depression_depth_m_p75,depression_depth_m_p90,depression_depth_m_p95,depression_depth_m_p99,slope_deg_mean,slope_deg_std,slope_deg_min,slope_deg_max,slope_deg_n,slope_deg_p1,slope_deg_p5,slope_deg_p10,slope_deg_p25,slope_deg_p50,slope_deg_p75,slope_deg_p90,slope_deg_p95,slope_deg_p99,area_km2,dtm_coverage_pct,depressed_area_share,depression_truncated_share,tiles,mask,ground_share,mask_suspect,raster,elev_range_m,elev_rank_citywide,twi_mean,twi_std,twi_p1,twi_p5,twi_p10,twi_p25,twi_p50,twi_p75,twi_p90,twi_p95,twi_p99,log_flow_acc_mean,log_flow_acc_std,log_flow_acc_p1,log_flow_acc_p5,log_flow_acc_p10,log_flow_acc_p25,log_flow_acc_p50,log_flow_acc_p75,log_flow_acc_p90,log_flow_acc_p95,log_flow_acc_p99
Din Daeng,1.4088716119224223,1.2782590599807722,-3.989631175994873,11.614522933959961,8386167,-0.06500000000031825,0.4349999999996711,0.5549999999996685,0.7449999999996645,0.9649999999996598,1.2949999999996527,4.264999999999589,4.804999999999578,4.934999999999575,0.11025613646302136,0.3976903161122575,0.0,4.85378360748291,8386167,0.005,0.005,0.005,0.005,0.005,0.005,0.20500000000000002,0.5750000000000001,2.355,2.8798952042095034,5.185627706606165,9.944904741132632e-05,75.22235107421875,8386167,0.07500000000000001,0.185,0.295,0.585,1.2449999999999999,2.8649999999999998,6.465,10.795000000000002,28.085,8.386167,100.0,0.2109,0.0,4,none,1.0,False,data/features/terrain_rasters/depression_Din_Daeng.tif,4.999999999999893,13,8.212575912475586,1.7459561824798584,4.983438158035279,5.834093713760376,6.227613258361816,6.896529674530029,7.897058010101318,9.34654426574707,10.73283863067627,11.543768882751465,12.78053092956543,0.31343725323677063,0.40581706166267395,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.1760913133621216,1.556302547454834
Bang Bon,0.9402794704667311,0.5170669244883568,-2.6053965091705322,6.745626926422119,34202648,-0.27500000000031377,0.10499999999967813,0.24499999999967514,0.5949999999996677,0.9649999999996598,1.2849999999996529,1.5749999999996467,1.7549999999996428,2.1049999999996354,0.14935800301558522,0.25941065648062683,0.0,3.631422519683838,34202648,0.005,0.005,0.005,0.005,0.005,0.215,0.545,0.725,1.045,3.313359211901813,4.1960599227945385,0.0001889136910904199,66.19161987304688,34201982,0.085,0.225,0.365,0.765,1.7149999999999999,4.085,8.485000000000001,12.175,20.175,34.234982,99.91,0.3815,0.0,12,none,0.9991,False,data/features/terrain_rasters/depression_Bang_Bon.tif,2.3799999999999493,13,8.594346046447754,1.740372657775879,5.57970591545105,6.103098964691162,6.4334068775177,7.133509993553162,8.563807010650635,9.415549039840698,10.955982208251953,11.744439125061035,12.81227970123291,0.31778931617736816,0.4099878668785095,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.556302547454834
Huai Khwang,1.0379966656653798,0.7131637408533321,-2.517749547958374,10.93227767944336,16185838,-0.4150000000003108,-0.08500000000031782,0.31499999999967365,0.6849999999996658,0.9849999999996594,1.2849999999996529,1.7149999999996437,2.3349999999996305,3.4549999999996066,0.0760690514602951,0.22129817266279386,0.0,3.7197203636169434,16185838,0.005,0.005,0.005,0.005,0.005,0.005,0.225,0.525,1.075,2.761041411634047,4.295330800323541,0.0,77.90540313720703,16185838,0.07500000000000001,0.185,0.295,0.605,1.315,3.045,6.555,10.285,21.634999999999998,16.185838,100.0,0.218,0.0,6,none,1.0,False,data/features/terrain_rasters/depression_Huai_Khwang.tif,3.8699999999999175,15,8.086350440979004,1.712424635887146,5.098845882415771,5.81617431640625,6.173495674133301,6.817822456359863,7.739062786102295,9.34654426574707,10.44515609741211,11.425985336303711,12.74774169921875,0.3346477448940277,0.41651564836502075,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2304489612579346,1.5910645723342896
Bueng Kum,1.0863876849864187,0.5786172035268544,-1.4808930158615112,9.728848457336426,23525173,-0.3950000000003112,-0.005000000000319531,0.3649999999996726,0.7549999999996643,1.1049999999996567,1.4749999999996488,1.7849999999996422,1.984999999999638,2.394999999999629,0.07630437792768835,0.2011792604214185,0.0,2.7196056842803955,23525173,0.005,0.005,0.005,0.005,0.005,0.005,0.265,0.545,0.965,2.73867980516293,3.7419204365636016,0.0,72.7823257446289,23525092,0.085,0.225,0.34500000000000003,0.685,1.4449999999999998,3.225,6.465,9.585,19.224999999999998,23.525195,100.0,0.2243,0.0,6,none,1.0,False,data/features/terrain_rasters/depression_Bueng_Kum.tif,2.7899999999999405,16,8.144234657287598,1.6179629564285278,5.569325160980225,6.072329044342041,6.369095325469971,6.925059795379639,7.771541595458984,9.34654426574707,10.44515609741211,11.298320770263672,12.67874813079834,0.31386831402778625,0.4102455973625183,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.556302547454834
Khlong Toei,1.3370378469597175,1.0966661980911168,-2.2618350982666016,9.964569091796875,13516951,-1.1050000000002962,0.25499999999967493,0.46499999999967045,0.7949999999996634,1.1149999999996565,1.5249999999996477,2.174999999999634,4.624999999999582,4.944999999999575,0.09358625739404915,0.31830259593665294,0.0,4.236892223358154,13516951,0.005,0.005,0.005,0.005,0.005,0.005,0.225,0.47500000000000003,2.065,2.1780677739380723,3.8069073289307735,0.0,77.09405517578125,13516951,0.045,0.135,0.215,0.455,0.975,2.235,5.055,8.015,19.895,13.516951,100.0,0.2291,0.0,4,none,1.0,False,data/features/terrain_rasters/depression_Khlong_Toei.tif,6.049999999999871,17,8.401044845581055,1.689195156097412,5.3410937690734865,6.048612213134765,6.417585849761963,7.10947847366333,8.162443161010742,9.34654426574707,10.73283863067627,11.543768882751465,12.81227970123291,0.3374162018299103,0.4188752770423889,0.0,0.0,0.0,0.0,0.3010300099849701,0.6020600199699402,0.9542425274848938,1.2304489612579346,1.6020599603652954
Chom Thong,1.1376173714726188,0.49788678339536746,-1.6202412843704224,8.124127388000488,23247770,0.18499999999967642,0.32499999999967344,0.47499999999967024,0.8249999999996628,1.1249999999996563,1.4249999999996499,1.7549999999996428,1.984999999999638,2.3849999999996294,0.09191590338557204,0.18274045731853975,0.0,4.363332271575928,23247770,0.005,0.005,0.005,0.005,0.005,0.10500000000000001,0.365,0.525,0.725,3.0264252442277257,3.80828645361474,0.0,70.32795715332031,23247770,0.10500000000000001,0.265,0.405,0.795,1.6749999999999998,3.625,7.285,10.785,18.814999999999998,23.24777,100.0,0.3063,0.0,6,none,1.0,False,data/features/terrain_rasters/depression_Chom_Thong.tif,2.199999999999953,18,8.273001670837402,1.7062742710113525,5.454946088790893,5.995335578918457,6.313687324523926,6.937157869338989,7.939571857452393,9.34654426574707,10.73283863067627,11.543768882751465,12.78053092956543,0.3177928030490875,0.41281014680862427,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.5682017803192139
Phasi Charoen,1.1139006808064595,0.468652615356393,-1.182408332824707,5.799195766448975,19032575,0.0449999999996794,0.2849999999996743,0.45499999999967067,0.8349999999996626,1.134999999999656,1.41499999999965,1.6849999999996443,1.844999999999641,2.254999999999632,0.11908593063471443,0.2321750984323061,0.0,2.198591709136963,19032575,0.005,0.005,0.005,0.005,0.005,0.125,0.47500000000000003,0.675,0.975,2.953595506651097,3.799039695567225,0.00011775887833209708,55.14744567871094,19032575,0.095,0.245,0.375,0.755,1.605,3.515,7.125,10.655000000000001,18.875,19.032575,100.0,0.3253,0.0,9,none,1.0,False,data/features/terrain_rasters/depression_Phasi_Charoen.tif,2.209999999999953,19,8.42435073852539,1.7101038694381714,5.579101524353027,6.110703682899475,6.421638774871826,7.053090572357178,8.137314319610596,9.34654426574707,10.73283863067627,11.649128913879395,12.81227970123291,0.31967130303382874,0.41140246391296387,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.5682017803192139
Chatuchak,1.1448554746012014,0.534623655453086,-3.999542236328125,11.76733684539795,32378500,-0.45500000000030993,0.31499999999967365,0.5949999999996677,0.8649999999996619,1.1549999999996556,1.4249999999996499,1.6949999999996441,1.9049999999996396,2.7149999999996224,0.06443197632637085,0.22085051613268103,0.0,5.039538383483887,32378500,0.005,0.005,0.005,0.005,0.005,0.005,0.185,0.375,0.965,2.606763344117238,3.755559399319451,0.0,73.85247039794922,32378500,0.065,0.185,0.295,0.615,1.315,3.015,6.255,9.315000000000001,18.715,32.3785,100.0,0.2058,0.0,6,none,1.0,False,data/features/terrain_rasters/depression_Chatuchak.tif,3.1699999999999324,20,8.211945533752441,1.6860747337341309,5.453048295974732,5.999220538139343,6.3085455894470215,6.914779901504517,7.866523265838623,9.34654426574707,10.586640739440918,11.426279401779174,12.74774169921875,0.3260363042354584,0.4135397672653198,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.5682017803192139
Bang Khae,1.1264301900881724,0.5267678092021871,-1.3452057838439941,12.285600662231445,47747592,-0.11500000000031718,0.204999999999676,0.3549999999996728,0.8049999999996632,1.184999999999655,1.4749999999996488,1.744999999999643,1.9249999999996392,2.2749999999996318,0.14230365722082677,0.2673966724161511,0.0,2.7224557399749756,47747592,0.005,0.005,0.005,0.005,0.005,0.165,0.5650000000000001,0.765,1.085,3.305088230614331,4.054402027070805,0.0,79.03721618652344,47747592,0.095,0.255,0.395,0.8250000000000001,1.805,4.135,8.175,11.615,19.845,47.747592,100.0,0.3511,0.0,9,none,1.0,False,data/features/terrain_rasters/depression_Bang_Khae.tif,2.389999999999949,21,8.45642375946045,1.7342830896377563,5.595783162117004,6.084985613822937,6.391274785995484,7.033543825149536,8.208113193511963,9.34654426574707,10.878769111633298,11.649128913879395,12.81227970123291,0.32165437936782837,0.410602331161499,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.556302547454834
Nong Khaem,1.1212393086678505,0.5615942785878116,-1.89116632938385,10.70669174194336,36314932,-0.09500000000031761,0.21499999999967578,0.3549999999996728,0.7149999999996651,1.184999999999655,1.4949999999996484,1.744999999999643,1.9449999999996388,2.6549999999996237,0.16292109193540552,0.26907938710943136,0.0,3.4812843799591064,36314932,0.005,0.005,0.005,0.005,0.005,0.245,0.585,0.765,1.085,3.4492173366604115,4.1657891478615445,0.00024878967087715864,65.31773376464844,36314145,0.095,0.255,0.405,0.8350000000000001,1.865,4.365,8.745000000000001,12.245000000000001,19.895,36.355989,99.89,0.4069,0.0,6,none,0.9989,False,data/features/terrain_rasters/depression_Nong_Khaem.tif,2.7499999999999414,21,8.560835838317871,1.6912873983383179,5.689090404510498,6.202723979949951,6.516420364379883,7.162824630737305,8.413511276245117,9.34654426574707,10.955982208251953,11.649128913879395,12.78053092956543,0.3150375783443451,0.40802523493766785,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.1760913133621216,1.5440680980682373
Rat Burana,1.229834721924414,0.48339003465580294,-1.717118263244629,9.817697525024414,12778540,0.1949999999996762,0.38499999999967216,0.5649999999996683,0.9449999999996602,1.234999999999654,1.5349999999996475,1.8249999999996414,2.0049999999996375,2.4249999999996286,0.0783173207287374,0.16646879407885518,0.0,2.543131113052368,12778540,0.005,0.005,0.005,0.005,0.005,0.065,0.315,0.47500000000000003,0.725,2.6906841470152303,3.43160946361112,0.0,74.83308410644531,12778540,0.085,0.215,0.335,0.675,1.4649999999999999,3.255,6.555,9.595,16.724999999999998,12.77854,100.0,0.2795,0.0,4,none,1.0,False,data/features/terrain_rasters/depression_Rat_Burana.tif,2.2299999999999525,23,8.484563827514648,1.7224522829055786,5.565091896057129,6.1000964641571045,6.426661014556885,7.081701040267944,8.275446891784668,9.34654426574707,10.867859840393066,11.686827659606934,12.872904777526855,0.32221096754074097,0.41589850187301636,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.57978355884552
Khan Na Yao,1.1519924067395784,0.769021596551296,-2.6357643604278564,6.059933662414551,25470317,-1.3150000000002917,-0.21500000000031505,0.14499999999967728,0.7449999999996645,1.2449999999996537,1.6649999999996448,1.9949999999996377,2.1949999999996335,2.6749999999996232,0.12670346075971,0.32977121570098045,0.0,4.386831760406494,25470317,0.005,0.005,0.005,0.005,0.005,0.07500000000000001,0.445,0.735,1.765,3.0932802039222715,4.211492781969919,0.00018061298760585487,70.04352569580078,25470293,0.085,0.225,0.365,0.755,1.635,3.625,7.285,11.145000000000001,21.875,25.470323,100.0,0.2749,0.0,9,none,1.0,False,data/features/terrain_rasters/depression_Khan_Na_Yao.tif,3.989999999999915,24,8.17811393737793,1.7232698202133179,5.330028810501099,5.90284161567688,6.230071640014648,6.85185980796814,7.812920570373535,9.34654426574707,10.630918502807619,11.543768882751465,12.78053092956543,0.32348963618278503,0.41611987352371216,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.57978355884552
Thawi Watthana,1.1960387588503885,0.5997827275518559,-1.9092727899551392,7.184016227722168,48605776,-0.035000000000318894,0.2649999999996747,0.39499999999967195,0.6949999999996656,1.2449999999996537,1.6249999999996456,1.9449999999996388,2.1449999999996345,2.5649999999996256,0.18139199456974003,0.29081554850205177,0.0,4.434060573577881,48605776,0.005,0.005,0.005,0.005,0.005,0.28500000000000003,0.655,0.8250000000000001,1.085,3.1588930137956615,4.007046507116078,0.0,75.27508544921875,48600425,0.085,0.23500000000000001,0.385,0.785,1.6749999999999998,3.815,7.875,11.455000000000002,19.765,50.395025,96.45,0.4126,0.0,9,none,0.9645,False,data/features/terrain_rasters/depression_Thawi_Watthana.tif,2.5999999999999446,24,8.47433853149414,1.765758991241455,5.471836957931519,6.00552282333374,6.3342937469482425,7.017688035964966,8.279305934906006,9.34654426574707,10.955982208251953,11.744439125061035,12.81227970123291,0.3281817138195038,0.4126579761505127,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.5682017803192139
Nong Chok,1.1619309943422909,0.7677954054543709,-11.66646957397461,50.08845520019531,237431086,-1.0050000000002983,0.06499999999967898,0.4249999999996713,0.8449999999996624,1.2549999999996535,1.5849999999996465,1.8649999999996405,2.074999999999636,2.5249999999996264,0.1777445485276515,0.3619014161295859,0.0,13.128567695617676,237431086,0.005,0.005,0.005,0.005,0.005,0.23500000000000001,0.515,0.765,1.365,3.568376342788392,5.442611667523518,0.0,87.11917114257812,237430467,0.055,0.195,0.34500000000000003,0.765,1.6949999999999998,3.855,8.965000000000002,14.135000000000002,25.705,237.443542,99.99,0.4784,0.0,31,none,0.9999,False,data/features/terrain_rasters/depression_Nong_Chok.tif,3.5299999999999248,26,8.435303688049316,1.7362972497940063,5.1835229873657225,5.892499685287476,6.288888931274414,7.080569505691528,8.316890716552734,9.34654426574707,10.73283863067627,11.543768882751465,12.713839530944824,0.3217344284057617,0.4086358845233917,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.5440680980682373
