station,rows,ts_min,ts_max,n_ts,name,n_wl_in,min_wl_in,max_wl_in,avg_wl_in,n_wl_out01,min_wl_out01,max_wl_out01,avg_wl_out01,n_wl_out02,min_wl_out02,max_wl_out02,avg_wl_out02,year,dataset
WL.KJU.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองขุนจันทร์ ตอนถนนฉิมพลี,104563,-0.66,1.03,0.2402848044,0,,,,0,,,,2019,water
WL.KKD.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเคล็ด ตอนถนนสุขุมวิท 77,62697,-0.8,0.0,-0.21626904,0,,,,0,,,,2019,water
WL.KKD.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเคล็ด ตอนถนนสุภาพงษ์ 1,96032,-1.05,0.26,-0.559291382,0,,,,0,,,,2019,water
WL.KKD.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเคล็ด ตอนถนนศรีนครินทร์,104984,-0.56,0.63,-0.3982936447,0,,,,0,,,,2019,water
WL.KKO.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเก้า ตอนวัดศรีสุขสถาพร,105120,-0.78,1.36,0.2637866248,0,,,,0,,,,2019,water
WL.KKS.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ เทเวศร์,105120,-0.89,0.66,-0.208173516,105120,-1.34,2.09,0.317446347,0,,,,2019,water
WL.KKS.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองผดุงกรุงเกษม ตอนทำเนียบรัฐบาล,104969,-1.04,0.41,-0.3641240747,0,,,,0,,,,2019,water
WL.KKS.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองผดุงกรุงเกษม ตอนหัวลำโพง,102359,-1.2,0.33,-0.4423902148,0,,,,0,,,,2019,water
WL.KKS.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ กรุงเกษม,105120,-0.78,-0.23,-0.4461647641,105120,-1.7,1.81,0.3418990677,0,,,,2019,water
WL.KKY.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองควาย ตอนถนนศาลาธรรมสพน์,82988,-1.43,1.02,0.4149771051,0,,,,0,,,,2019,water
WL.KKY.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองควาย ตอนถนนบรมราชชนนี,98737,-3.0,0.91,0.4414751309,0,,,,0,,,,2019,water
WL.KLA.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองลาว ตอนถนนพัฒนาการ,104961,-0.83,0.28,-0.4876548432,0,,,,0,,,,2019,water
WL.KLD.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองหลอด ตอนสถานีสูบน้ำปากคลองตลาด,102324,-3.0,0.7,0.2768115007,0,,,,0,,,,2019,water
WL.KLD.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองหลอด ตอนถนนราชดำเนินใน,104971,-0.65,0.72,0.2950075735,0,,,,0,,,,2019,water
WL.KLT.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองตัน ช่วงใต้ทางด่วน,105120,-0.98,-0.22,-0.5510070396,0,,,,0,,,,2019,water
