station,rows,ts_min,ts_max,n_ts,name,n_flood,min_flood,max_flood,avg_flood,n_ge5,n_ge15,n_ge30,n_gt0,n_neg,year,dataset
FL.KTY.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พระราม 3 ช่วงทางรถไฟ,105120,0.0,31.0,0.0058181126,3,3,3,1877,0,2019,flood
FL.KTY.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พระราม 4 ช่วงกล้วยน้ำไท,105120,0.0,29.4,0.06206621,70,4,0,14479,0,2019,flood
FL.KTY.05,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.สุนทรโกษา แยก ณ ระนอง,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.LSI.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ซ.แจ้งวัฒนะ 14,105120,0.0,31.2,0.0016638128,1,1,1,83,0,2019,flood
FL.LSI.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.งามวงศ์วาน แยกพงษ์เพชร,105120,0.0,13.4,0.0168245814,24,0,0,794,0,2019,flood
FL.LSI.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.แจ้งวัฒนะ หน้าศาลปกครองกลาง,105120,0.0,32.8,0.0854870624,624,24,5,3252,0,2019,flood
FL.LSI.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.แจ้งวัฒนะขาเข้า (โลตัส),105120,0.0,21.6,0.1097878615,95,15,0,16548,0,2019,flood
FL.LSI.05,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.แจ้งวัฒนะขาออก (มทบ. 11),105120,0.0,1.2,5.32725e-05,0,0,0,13,0,2019,flood
FL.LSI.06,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.งามวงศ์วาน ซอยชินเขต,105120,0.0,67.8,0.0517304033,180,123,76,312,0,2019,flood
FL.PKN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.สุขุมวิท ช่วงซอยสุขุมวิท 62,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.PNK.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.วิสุทธิ์กษัตริย์  หน้าวัดอินทรวิหาร,105120,0.0,17.9,0.000216895,1,1,0,3,0,2019,flood
FL.PPS.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.หลานหลวง หน้าธนาคารกรุงไทย,105120,0.0,14.3,0.0596385084,517,0,0,1718,0,2019,flood
