target,station,pos,tp,fp,fn
ge15_3h,FL.BRK.02,0,0,0,0
ge15_3h,FL.BSU.01,0,0,0,0
ge15_3h,FL.CTC.01,34,13,4,21
ge15_3h,FL.CTC.02,0,0,0,0
ge15_3h,FL.CTC.03,58,24,3,34
ge15_3h,FL.CTC.04,83,27,9,56
ge15_3h,FL.CTC.05,32,10,1,22
ge15_3h,FL.CTC.06,0,0,0,0
ge15_3h,FL.CTC.07,64,29,4,35
ge15_3h,FL.DDG.01,55,11,13,44
ge15_3h,FL.DDG.02,81,25,5,56
ge15_3h,FL.DDG.03,14,3,1,11
ge15_3h,FL.DDG.04,0,0,0,0
ge15_3h,FL.DDG.05,16,5,2,11
ge15_3h,FL.DDG.06,0,0,0,0
ge15_3h,FL.DDG.07,14,2,1,12
ge15_3h,FL.DDG.08,0,0,4,0
ge15_3h,FL.DST.03,0,0,0,0
ge15_3h,FL.DST.04,0,0,0,0
ge15_3h,FL.DST.06,0,0,0,0
ge15_3h,FL.DST.07,0,0,0,0
ge15_3h,FL.DST.08,0,0,0,0
ge15_3h,FL.HKG.01,25,4,6,21
ge15_3h,FL.JTG.01,16,5,0,11
ge15_3h,FL.KSN.01,0,0,0,0
ge15_3h,FL.KTY.01,0,0,0,0
ge15_3h,FL.KTY.02,12,1,3,11
ge15_3h,FL.KTY.03,13,3,0,10
ge15_3h,FL.KTY.04,0,0,2,0
ge15_3h,FL.KTY.05,0,0,0,0
ge15_3h,FL.LSI.02,62,15,7,47
ge15_3h,FL.LSI.03,0,0,10,0
ge15_3h,FL.LSI.04,13,2,16,11
ge15_3h,FL.LSI.05,0,0,1,0
ge15_3h,FL.LSI.06,0,0,6,0
ge15_3h,FL.MBR.01,0,0,0,0
ge15_3h,FL.PKN.01,0,0,0,0
ge15_3h,FL.PNK.02,0,0,0,0
ge15_3h,FL.PPS.01,23,0,3,23
ge15_3h,FL.PPS.02,0,0,0,0
ge15_3h,FL.PTW.01,18,7,1,11
ge15_3h,FL.PTW.02,16,5,1,11
ge15_3h,FL.PTW.03,0,0,0,0
ge15_3h,FL.PTW.05,22,10,1,12
ge15_3h,FL.PWT.01,0,0,0,0
ge15_3h,FL.PWT.02,36,18,37,18
ge15_3h,FL.PYT.01,32,9,3,23
ge15_3h,FL.PYT.02,38,15,4,23
ge15_3h,FL.PYT.03,0,0,0,0
ge15_3h,FL.PYT.04,14,2,2,12
ge15_3h,FL.PYT.05,32,10,3,22
ge15_3h,FL.PYT.06,34,12,2,22
ge15_3h,FL.PYT.07,25,2,3,23
ge15_3h,FL.RTW.01,0,0,0,0
ge15_3h,FL.RTW.02,0,0,0,0
ge15_3h,FL.RTW.03,0,0,0,0
ge15_3h,FL.RTW.04,15,4,1,11
ge15_3h,FL.RTW.05,25,1,2,24
ge15_3h,FL.RTW.06,0,0,0,0
ge15_3h,FL.RTW.07,24,2,6,22
ge15_3h,FL.RTW.08,51,16,2,35
ge15_3h,FL.RTW.09,46,13,15,33
